loc_rowid_x,pl_name,hostname,default_flag,sy_snum_x,sy_pnum_x,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,loc_rowid_y,sy_snum_y,sy_pnum_y,cb_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_age,st_rotp,spectral_bin,pl_mass_kg,pl_radius_m,density_calc,v_esc,P_yr,a_calc,flux_calc,tidal_lock_score,Habitability_Physics_Percent,Habitability_ML_Percent
23569,Kepler-306 c,Kepler-306,1,1,4,7.240193,0.067,2.35,,,0.0,-115.81198485186009,,29396,1,4,0,,5027.0,0.877,0.74,0.155,-0.51988,,,K,,14971850.0,,,0.01982256810403833,0.06624969028867947,-115.81198485186009,0.027869384959161667,,
14047,Kepler-1509 b,Kepler-1509,1,1,1,25.4338197,0.16696982299835028,1.85,,,0.0,1.484634173037782,,19574,1,1,0,,,0.94,0.96,,0.04139,,,,,11786350.0,,,0.06963400328542095,0.16696982299835028,1.484634173037782,0.521677387791768,,
9381,Kepler-1161 b,Kepler-1161,1,1,1,10.71252541,0.07696496038601043,2.13,,,0.0,-87.76412148254904,,14134,1,1,0,,4083.0,0.519,0.53,-0.5,-0.51988,,,K,,13570230.0,,,0.029329296125941134,0.07696496038601043,-87.76412148254904,0.05429518594993265,,
11454,Kepler-1315 b,Kepler-1315,1,1,2,0.84338011,0.016278145541809973,1.38,1.9415604555600283,4.0730714942799695,0.0,-1961.9740366616697,,16737,1,2,0,,4818.0,0.856,0.809,0.56,-0.51988,,,K,1.159499904060449e+25,8791980.0,4.0730714942799695,13268.13471678827,0.0023090488980150583,0.016278145541809973,-1961.9740366616697,0.007912841819659785,36.01627680094882,33.897457
8794,Kepler-112 b,Kepler-112,1,1,2,8.408878,0.076,2.36,,,0.0,7.165858725761773,,13418,1,2,0,,5763.0,0.957,0.766,-0.56,0.04139,,,G,,15035560.0,,,0.02302225325119781,0.07404711480318288,7.165858725761773,0.03495124948657848,,
2068,HD 11343 c,HIP 8541,1,2,2,228.53731,0.923,2.23,,,0.169,0.048583860861644575,,8121,2,2,0,,,0.94,2.009,,0.04139,,,,,14207330.0,,,0.625701054072553,0.9230769434318558,0.048583860861644575,1.0,,
2334,HD 143361 b,HD 143361,1,1,1,1039.15,1.988,2.23,,,0.197,-0.023154520685481093,,3709,1,1,0,G6 V,5505.0,0.99,0.95,0.22,-0.09151,5.0,,G,,14207330.0,,,2.8450376454483233,1.9737851627469984,-0.023154520685481093,1.0,,
25527,Kepler-366 b,Kepler-366,1,1,2,3.281959,0.045,1.46,2.1805541845348473,3.8629286807690155,0.0,20.439506172839508,,31122,1,2,0,,5926.0,0.95,0.96,,0.04139,,,G,1.3022269590042108e+25,9301660.0,3.8629286807690155,13670.392063694104,0.008985514031485285,0.04263690731934189,20.439506172839508,0.012823009129181544,30.94318134891439,36.645416
29103,Kepler-561 b,Kepler-561,1,1,2,58.3620495,0.2917860243948966,6.96,,,0.0,0.4861457046490684,,34897,1,2,0,,5592.0,0.953,0.973,0.16,0.04139,,,G,,44342160.0,,,0.15978658316221767,0.2917860243948966,0.4861457046490684,0.9987362533593114,,
19534,Kepler-199 c,Kepler-199,1,1,2,67.093408,0.316,3.25,,,0.0,0.41449687550072106,,25938,1,2,0,,5722.0,1.213,0.96,-0.157,0.04139,,,G,,20705750.0,,,0.1836917399041752,0.3187744434509564,0.41449687550072106,0.9997793432609897,,
24970,Kepler-347 b,Kepler-347,1,1,3,12.79836,0.11,1.97,,,0.0,3.4206611570247936,,30610,1,3,0,,,0.94,0.96,,0.04139,,,,,12550870.0,,,0.03504,0.10563304750794698,3.4206611570247936,0.0801487270724418,,
25807,Kepler-375 b,Kepler-375,1,1,2,12.125934,0.101,1.45,2.149899133205535,3.887965946362879,0.0,4.0574453484952455,,31372,1,2,0,,5826.0,0.88,0.985,,0.04139,0.4,,G,1.2839197623503456e+25,9237950.0,3.887965946362879,13620.686522135247,0.033198997946611915,0.10277687151869096,4.0574453484952455,0.07077709627731268,32.12738231864585,36.359074
12147,Kepler-1365 c,Kepler-1365,1,1,2,4.77468005,0.054742729098453895,0.8,0.6314883940739978,6.799919740129027,0.0,13.811553730014055,,17487,1,2,0,,5592.0,0.935,0.96,0.001,0.04139,,,G,3.7712486894099154e+24,5096800.0,6.799919740129027,9938.289643337988,0.01307236153319644,0.054742729098453895,13.811553730014055,0.01720730863280307,46.622124836962456,52.242367
4927,K2-22 b,K2-22,1,2,1,0.381073,0.008676189979606098,2.3,,,0.0,-6906.293076218796,,9106,2,1,0,M0 V,3830.0,0.57,0.6,0.03,-0.51988,,,K,,14653299.999999998,,,0.0010433210130047913,0.008676189979606098,-6906.293076218796,0.007219059175485416,,
14520,Kepler-1542 e,Kepler-1542,1,1,4,5.10115756,0.05666908799918267,0.76,0.5681669927527592,7.13581525589562,0.0,12.888517916424378,,20083,1,4,0,,5574.0,1.065,0.933,0.12,0.04139,,,G,3.393093280719478e+24,4841960.0,7.13581525589562,9671.752191548165,0.013966208240930868,0.05666908799918267,12.888517916424378,0.018347059867030446,43.035565417709705,53.702076
27779,Kepler-48 f,Kepler-48,1,1,5,5219.681854,5.719187877,2.23,,,0.015283,-0.010548743157208941,,33361,1,5,0,,5119.33,0.854487,0.74,,-0.34504,,,K,,14207330.0,,,14.290710072553047,5.326555365289797,-0.010548743157208941,1.0,,
3261,HD 290327 b,HD 290327,1,1,1,2443.0,3.43,2.23,,,0.08,-0.011660957594199696,,5976,1,1,0,,5505.0,0.938735,0.97,-0.14,-0.13719,,,G,,14207330.0,,,6.6885694729637235,3.5140888637113203,-0.011660957594199696,1.0,,
3149,HD 23472 b,HD 23472,1,1,5,17.667087,0.1162,2.0,8.32,6.15,0.072,16.0,543.0,5733,1,5,0,,4813.0,0.69,0.74,,-0.51988,,,K,4.968704000000001e+25,12742000.0,5.733789088132657,22815.007819664068,0.04836984804928131,0.12007715473942483,-38.50267062841976,0.18746259772525706,16.418790003045704,15.517069
29443,Kepler-585 b,Kepler-585,1,1,1,2.752359753,0.03791697891336712,2.83,,,0.0,28.789092314695367,,35276,1,1,0,,5593.0,0.93,0.96,0.03,0.04139,3.63,,G,,18029930.0,,,0.007535550316221766,0.03791697891336712,28.789092314695367,0.011549138915154817,,
14341,Kepler-1530 d,Kepler-1530,1,1,3,9.20761013,0.08481282762321385,3.27870115,,,0.0,5.754032905001386,,19902,1,3,0,,,0.94,0.96,,0.04139,,,,,20888605.02665,,,0.025209062642026013,0.08481282762321385,5.754032905001386,0.040758519044511984,,
33599,Kepler-883 b,Kepler-883,1,1,1,12.98495573,0.10193300763256277,1.78,,,0.0,43.61696395597139,,40271,1,1,0,,6212.0,0.945,0.838,-0.82,0.453195,,,F,,11340380.0,,,0.03555087126625599,0.10193300763256277,43.61696395597139,0.08294354390476107,,
28237,Kepler-51 d,Kepler-51,1,1,4,130.194,0.509,9.7,7.6,0.046,0.008,1.7492405849907944,381.0,33875,1,4,0,,6018.0,0.94,1.04,,0.453195,0.3,,F,4.53872e+25,61798699.99999999,0.04590994410186028,9901.360786498912,0.3564517453798768,0.5093444873783249,1.7492405849907944,0.9999999992706008,30.666439114879037,17.409773
22457,Kepler-276 c,Kepler-276,1,1,3,31.884,0.2030739803918605,2.9,16.6,3.752515275762801,0.0,10.989464919207624,,28484,1,3,0,,6102.0,1.026,1.099,0.0,0.453195,,,F,9.913520000000002e+25,18475900.0,3.752515275762801,26762.64305274755,0.08729363449691992,0.2030739803918605,10.989464919207624,0.7984765744790217,18.232772863821516,17.40992
1794,HATS-60 b,HATS-60,1,1,1,3.560829,0.04708,12.923977,210.40346,0.537,0.191,903.9,1528.0,2523,1,1,0,,5688.0,1.46,1.097,0.335,0.30016,7.55,,G,1.25652946312e+27,82338657.46700001,0.5373691403542394,45133.842296208764,0.009749018480492814,0.04706623637970679,135.4190953917806,0.013548555069711596,0.8256185661867727,3.1615555
3442,HD 40307 d,HD 40307,1,1,5,20.432,0.1321,2.23,,,0.07,-29.79185016283285,,6345,1,5,0,K3 V,4977.0,0.721,0.77,-0.31,-0.51988,,,K,,14207330.0,,,0.05593976728268309,0.1340635386650284,-29.79185016283285,0.28626373113890524,,
22550,Kepler-279 c,Kepler-279,1,1,4,35.736,0.23232765476717643,4.3,49.4,3.425547205734102,0.0,8.396210010053995,,28549,1,4,0,,6779.0,1.27,1.31,,0.453195,0.22,,F,2.950168e+26,27395300.0,3.425547205734102,37914.31406998649,0.09783983572895276,0.23232765476717643,8.396210010053995,0.895406837443409,17.713498967049095,18.13078
262,CoRoT-1 b,CoRoT-1,1,1,1,1.5089557,0.02539888126826248,16.7,327.35,0.38,0.0,461.8331051576019,1898.0,527,1,1,0,,5907.67,1.345204,0.96,,0.29793,,,G,1.9549342000000002e+27,106395700.0,0.38749964263315456,49524.704590819885,0.004131295550992471,0.02539888126826248,461.8331051576019,0.009029311298839618,0.6565260143578808,0.8262255
3200,HD 260655 b,HD 260655,1,1,2,2.76953,0.02933,1.24,2.14,6.2,0.039,42.2,709.0,5829,1,2,0,,3807.0,0.465559,0.463011,,-1.38702,,,K,1.2780080000000001e+25,7900040.0,6.188096709461677,14695.01388417293,0.007582559890485969,0.029858936542078496,-1612.347310179647,0.011588407014567923,42.5873665358761,37.227894
36930,TOI-4155 b,TOI-4155,1,1,1,3.320729,0.045770058754714175,3.21,,,0.0,19.75752256162753,1255.0,44309,1,1,0,,5724.0,0.95,1.16,0.11,0.04139,,,G,,20450910.0,,,0.009091660506502395,0.045770058754714175,19.75752256162753,0.01292153545160121,,
2972,HD 210702 b,HD 210702,1,1,1,355.5,1.079,2.23,,,0.071,0.8893605361776472,,5242,1,1,0,K1 IV,4912.0,4.54,1.33,-0.02,1.03543,,,K,,14207330.0,,,0.973305954825462,1.080065599770292,0.8893605361776472,1.0,,
